14.6 -0.0532507 -0.0531432 -0.0528258 -0.0523089 -0.0516069 -0.0507472 -0.0497518 -0.0486549 -0.0474897 -0.0462909 -0.0450968 -0.0439434 -0.0428648 -0.041893 -0.0410565 -0.0403796 -0.0398819 -0.0395774 -0.0394746 
14.8 -0.045882 -0.04578 -0.0454912 -0.0450147 -0.0443738 -0.043582 -0.0426694 -0.0416614 -0.0405899 -0.0394891 -0.0383925 -0.0373331 -0.0363423 -0.0354495 -0.034681 -0.0340591 -0.033602 -0.0333224 -0.0332281 
15 -0.0392006 -0.039107 -0.0388413 -0.0384033 -0.037814 -0.037086 -0.0362446 -0.0353174 -0.034333 -0.0333213 -0.0323132 -0.0313388 -0.0304276 -0.0296064 -0.0288995 -0.0283275 -0.0279069 -0.0276499 -0.0275632 
15.2 -0.033134 -0.0330481 -0.0327996 -0.0324016 -0.0318564 -0.0311859 -0.030412 -0.0295589 -0.0286527 -0.0277213 -0.026793 -0.0258958 -0.0250566 -0.0243004 -0.0236493 -0.0231225 -0.0227353 -0.0224985 -0.0224188 
15.4 -0.0276181 -0.0275391 -0.0273104 -0.0269394 -0.0264378 -0.0258212 -0.0251088 -0.024323 -0.0234879 -0.0226294 -0.0217736 -0.0209465 -0.0201728 -0.0194756 -0.0188752 -0.0183896 -0.0180325 -0.0178142 -0.0177407 
15.6 -0.0225964 -0.0225238 -0.0223128 -0.0219706 -0.0215079 -0.020939 -0.0202816 -0.0195565 -0.0187859 -0.0179936 -0.0172038 -0.0164403 -0.0157262 -0.0150826 -0.0145284 -0.01408 -0.0137505 -0.013549 -0.0134811 
15.8 -0.0180187 -0.0179519 -0.0177572 -0.0174412 -0.0170139 -0.0164883 -0.0158812 -0.0152112 -0.0144993 -0.0137674 -0.0130376 -0.0123322 -0.0116723 -0.0110775 -0.0105655 -0.0101511 -0.00984661 -0.00966033 -0.00959756 
16 -0.0138344 -0.0137768 -0.0135985 -0.0133069 -0.012912 -0.0124261 -0.0118648 -0.0112452 -0.0105868 -0.00990982 -0.00923494 -0.00858247 -0.00797206 -0.00742179 -0.00694819 -0.00656489 -0.00628308 -0.00611082 -0.00605278 
16.2 -0.0100178 -0.00996412 -0.00979903 -0.00952918 -0.00916359 -0.0087139 -0.00819425 -0.00762076 -0.00701129 -0.00638461 -0.00575966 -0.00515559 -0.00459043 -0.00408095 -0.00364235 -0.00328738 -0.00302643 -0.00286686 -0.00281308 
16.4 -0.006526 -0.00647592 -0.00632289 -0.00607292 -0.00573422 -0.00531759 -0.0048361 -0.0043047 -0.00374 -0.00315923 -0.00258016 -0.0020203 -0.00149644 -0.00102422 -0.000617681 -0.000288634 -4.66901e-05 0.000101206 0.000151051 
16.6 -0.00332764 -0.00328091 -0.00313896 -0.00290718 -0.00259304 -0.00220675 -0.00176016 -0.0012674 -0.000743567 -0.000204886 0.000332356 0.00085175 0.00133767 0.00177577 0.002153 0.00245833 0.00268276 0.00282013 0.00286637 
16.8 -0.000394871 -0.000351364 -0.000219599 -4.4202e-06 0.000287091 0.000645718 0.00106026 0.00151775 0.00200407 0.00250427 0.00300304 0.00348523 0.00393656 0.00434342 0.00469365 0.0049773 0.0051858 0.00531338 0.00535635 
17 0.00229723 0.00233772 0.00246023 0.00266011 0.00293094 0.00326412 0.00364928 0.00407434 0.00452629 0.00499105 0.00545463 0.00590295 0.00632233 0.00670049 0.00702608 0.00728974 0.00748374 0.00760224 0.0076423 
17.2 0.00477097 0.00480876 0.00492264 0.00510858 0.00536032 0.00567016 0.00602838 0.00642373 0.00684412 0.0072764 0.0077076 0.00812461 0.00851476 0.00886658 0.0091695 0.00941486 0.00959522 0.00970565 0.00974286 
17.4 0.00704651 0.00708172 0.00718773 0.00736069 0.00759509 0.0078835 0.00821683 0.00858492 0.00897628 0.00937874 0.00978012 0.0101684 0.0105316 0.0108592 0.0111414 0.0113698 0.0115378 0.0116407 0.0116753 
17.6 0.00914156 0.00917446 0.00927329 0.00943434 0.00965276 0.00992136 0.010232 0.0105749 0.0109395 0.0113145 0.0116885 0.0120502 0.0123888 0.012694 0.0129569 0.01317 0.0133266 0.0134224 0.0134548 
17.8 0.0110726 0.0111034 0.0111955 0.0113457 0.0115492 0.0117997 0.0120893 0.012409 0.012749 0.0130987 0.0134475 0.0137849 0.0141006 0.0143854 0.0146307 0.0148293 0.0149754 0.0150649 0.015095 
18 0.0128542 0.0128829 0.0129689 0.0131089 0.0132989 0.0135326 0.0138029 0.0141012 0.0144185 0.0147448 0.0150703 0.0153852 0.01568 0.0159457 0.0161747 0.0163603 0.0164967 0.0165802 0.0166084 
18.2 0.0144994 0.0145262 0.0146063 0.0147372 0.0149146 0.0151328 0.0153852 0.0156638 0.01596 0.0162649 0.016569 0.0168631 0.0171385 0.0173868 0.0176008 0.017774 0.0179016 0.0179796 0.0180059 
18.4 0.0160198 0.0160448 0.0161198 0.016242 0.0164078 0.0166117 0.0168476 0.017108 0.017385 0.0176699 0.0179542 0.0182291 0.0184866 0.0187188 0.0189189 0.019081 0.0192002 0.0192732 0.0192977 
18.6 0.0174264 0.0174497 0.0175198 0.0176342 0.0177891 0.01798 0.0182005 0.0184441 0.0187031 0.0189698 0.0192357 0.0194929 0.0197339 0.0199512 0.0201384 0.02029 0.0204016 0.02047 0.020493 
18.8 0.0187285 0.0187503 0.0188161 0.018923 0.0190681 0.0192467 0.0194532 0.0196812 0.0199238 0.0201732 0.0204222 0.0206632 0.0208886 0.0210922 0.0212675 0.0214095 0.021514 0.0215781 0.0215996 
19 0.0199352 0.0199556 0.0200171 0.0201174 0.0202532 0.0204205 0.0206139 0.0208276 0.0210548 0.0212886 0.0215219 0.0217476 0.021959 0.0221496 0.0223139 0.0224471 0.0225451 0.022605 0.0226252 
19.2 0.0210543 0.0210734 0.0211311 0.0212251 0.0213524 0.0215093 0.0216906 0.0218909 0.0221039 0.0223231 0.0225419 0.0227536 0.0229517 0.0231306 0.0232847 0.0234095 0.0235015 0.0235577 0.0235766 
19.4 0.0220932 0.0221111 0.0221652 0.0222532 0.0223728 0.0225199 0.0226901 0.0228779 0.0230777 0.0232836 0.0234888 0.0236873 0.0238734 0.0240412 0.0241858 0.0243029 0.0243892 0.024442 0.0244597 
19.6 0.0230582 0.023075 0.0231257 0.0232085 0.0233206 0.0234587 0.0236184 0.0237949 0.0239825 0.0241757 0.0243683 0.0245549 0.0247295 0.0248871 0.0250229 0.0251329 0.0252138 0.0252634 0.0252802 
